review_id,review_text,review_source,review_score,category
d1bcb2a13e00659ce721662bb6b206df,"Mantap, lumayan bersih, ada kulkasnya cuma kulkasnya kotor, cuma tetep saya masukin minum tapi ditutupin kresek, deket tempat kuliner, dapat hadiah view gedung-gedung tinggi :)",befc88fe53f24cb70ce7f9d2efd89858,8.5,
e203a37e1cf5b5709a445cc20096ab5e,"suasana tenang, cocok untuk istirahat",4c5d06b02c97731aaa976179c62dcf76,3,
df9c543d0ffb5137c41c5d800ac4253c,"kamarnya bersih, rapi, nyaman. seneng banget nginep disini! ",4c5d06b02c97731aaa976179c62dcf76,4,
2aaa024d2577cb304f5bd548f6a2523b,goooooooooddddd,4c5d06b02c97731aaa976179c62dcf76,3,
cf40fd58673dd8e2155d15b608ea60f7,nyaman bersih,4c5d06b02c97731aaa976179c62dcf76,4,
59e45e0bd2ccd9a29181a94b66acf3f2,nyaman banget nggak ad yang ganggu hotel yang patut di contoh cuman hargnya bisa di turunin lagi nggak....?😯😐😊,4c5d06b02c97731aaa976179c62dcf76,4,
26a833995af67f08097613dafd20f516,Recomendedlah pokok nya. Kamar sesuai dengan yang di foto. Fasilitas nya pun mantap.,befc88fe53f24cb70ce7f9d2efd89858,9.69999981,
94639c0f4e23514379f7606610bae7f2,selalu nginep dsini klo ke sby,4c5d06b02c97731aaa976179c62dcf76,3,
1f94a7aa1b87836b0e6cb1225167fa0d,"Lumayan ok utk sales, menginap murah meriah",befc88fe53f24cb70ce7f9d2efd89858,8.5,
4187ecc21dd6db0e6efc20960bb9d86a,deket dari tempat makan. jadi tidak bingung kalau lapar mau cari makan.,4c5d06b02c97731aaa976179c62dcf76,3,
df525ecc90bde6948ca49adf92f69d9c,Pelayanannya memuaskan,4c5d06b02c97731aaa976179c62dcf76,3,
